Title,Date,Sentiment Polarity,Symbol
Roadkill Alert: Why GOOG Stock Is About to Get Run Over,2023-11-02,0.0,GOOGL
Cheap Alphabet Stock Is a Screaming Buy,2023-11-02,0.4,GOOGL
Warren Buffett Stocks: Shaky Market Shakes Out Google Stock,2023-11-02,-0.3333333333333333,GOOGL
It's Time To Consider Buying Google Stock (NASDAQ:GOOG),2023-11-02,0.0,GOOGL
Google Stock Upgrade: Don't Miss The Bigger Picture (NASDAQ:GOOG),2023-11-02,0.0,GOOGL
AI Stocks: Best Artificial Intelligence Stocks To Watch Amid ChatGPT Hype,2023-11-02,0.2,GOOGL
"Google Stock: Is It A Buy Right Now? Here's What Earnings, GOOGL Stock 
Chart Show",2023-11-02,0.2857142857142857,GOOGL
"Tech stocks suffer two-day selloff as investors find 'wrinkle or two' in 
Alphabet, Meta earnings",2023-11-02,0.0,GOOGL
"Here's What Sundar Pichai Just Said That Makes Google Stock a No-Brainer 
Buy on the Dip",2023-11-02,0.0,GOOGL
"Dow Jones Futures Fall: Meta Extends S&P 500, Nasdaq Sell-Off After Google 
Dive",2023-11-02,0.0,GOOGL
"After Google Stock's Plunge, Option Trade Offers Some Solace",2023-10-28,0.1,GOOGL
Why Google stock is tanking — and where it could go next,2023-10-28,0.0,GOOGL
Alphabet's Stock Tumbles as Cloud Slowdown Outweighs Strong Earnings,2023-10-28,0.4333333333333333,GOOGL
Dow Leads Mixed Markets; Google Stock Loses Billions,2023-10-28,-0.15,GOOGL
Alphabet Stock Drops 6% on Google Cloud's Slowing Growth,2023-10-28,0.0,GOOGL
Microsoft's and Google’s earnings tell a tale of two clouds,2023-10-28,0.0,GOOGL
"Stock market news today: Stocks clobbered as Nasdaq drops 2.5% amid 
Google's slide",2023-10-28,0.0,GOOGL
"GOOGL Stock: Google Earnings Beat, Shares Fall As Cloud Computing Growth 
Misses",2023-10-28,0.0,GOOGL
"Google's stock sheds market cap the size of Nike in one of Wall Street's 
five worst drops ever",2023-10-28,-1.0,GOOGL
"Alphabet stock falls as Q3 revenue and earnings beat, but cloud business 
falls short",2023-10-28,0.0,GOOGL
