Title,Date,Sentiment Polarity,Symbol
Roadkill Alert: Why GOOG Stock Is About to Get Run Over,2023-11-02,0.0,GOOGL
Cheap Alphabet Stock Is a Screaming Buy,2023-11-02,0.4,GOOGL
Warren Buffett Stocks: Shaky Market Shakes Out Google Stock,2023-11-02,-0.3333333333333333,GOOGL
It's Time To Consider Buying Google Stock (NASDAQ:GOOG),2023-11-02,0.0,GOOGL
Google Stock Upgrade: Don't Miss The Bigger Picture (NASDAQ:GOOG),2023-11-02,0.0,GOOGL
AI Stocks: Best Artificial Intelligence Stocks To Watch Amid ChatGPT Hype,2023-11-02,0.2,GOOGL
"Google Stock: Is It A Buy Right Now? Here's What Earnings, GOOGL Stock 
Chart Show",2023-11-02,0.2857142857142857,GOOGL
"Tech stocks suffer two-day selloff as investors find 'wrinkle or two' in 
Alphabet, Meta earnings",2023-11-02,0.0,GOOGL
"Dow Jones Futures Fall: Meta Extends S&P 500, Nasdaq Sell-Off After Google 
Dive",2023-11-02,0.0,GOOGL
"After Google Stock's Plunge, Option Trade Offers Some Solace",2023-11-02,0.1,GOOGL
Alphabet's Stock Tumbles as Cloud Slowdown Outweighs Strong Earnings,2023-10-28,0.4333333333333333,GOOGL
Dow Leads Mixed Markets; Google Stock Loses Billions,2023-10-28,-0.15,GOOGL
Alphabet Stock Drops 6% on Google Cloud's Slowing Growth,2023-10-28,0.0,GOOGL
AMZN Stock: Is Microsoft Or Google A Better Preview For AWS Earnings?,2023-10-28,0.5,GOOGL
"Stock Market News, Oct. 25, 2023: Nasdaq Closes in Correction Territory; 
Alphabet Stock Slides After Earnings",2023-10-28,0.0,GOOGL
"GOOGL Stock: Google Earnings Beat, Shares Fall As Cloud Computing Growth 
Misses",2023-10-28,0.0,GOOGL
"Google's stock sheds market cap the size of Nike in one of Wall Street's 
five worst drops ever",2023-10-28,-1.0,GOOGL
"Alphabet stock falls as Q3 revenue and earnings beat, but cloud business 
falls short",2023-10-28,0.0,GOOGL
"Alphabet Shares Tank On Cloud Earnings Miss But Analysts Say Investors 
Needn't Worry",2023-10-28,0.0,GOOGL
"Alphabet's stock has its worst day since start of the Covid pandemic in 
March 2020",2023-10-28,-1.0,GOOGL
"Microsoft gains $70 billion and Alphabet loses more than twice as much as 
Satya Nadella steals Sundar Pichai’s thunder on AI",2023-10-28,0.13333333333333333,GOOGL
"Stock market news today: Stocks clobbered as Nasdaq drops 2.5% amid 
Google's slide",2023-10-28,0.0,GOOGL
"Buying on weakness in Google stock is the 'right move for Meta': Roth's 
Rohit Kulkarni",2023-10-28,0.2857142857142857,GOOGL
"Alphabet shares drop as cloud miss overshadows better-than-expected overall 
results",2023-10-28,0.0,GOOGL
Stocks rise amid earnings deluge: Stock market news today,2023-10-28,0.0,GOOGL
Google's Latest Layoffs Are a Huge Red Flag for GOOG Stock,2023-10-28,0.30000000000000004,GOOGL
"Google Earnings Watch: YouTube Rebound, Cloud Growth, Gemini Launch",2023-10-28,0.0,GOOGL
